t,ls,alt,vel,ax,ay,az,hax,hay,haz
12428,20,-0.05,0.27,0.78,0.43,9.60,0.48,-0.48,9.13
12633,20,-0.53,-0.45,-0.56,0.55,9.80,0.00,-1.92,8.65
12741,20,-0.59,-0.49,0.29,0.59,9.76,-0.48,-2.88,10.57
12842,20,-0.60,-0.44,0.36,0.21,9.68,-0.48,0.48,9.61
12944,20,-0.44,-0.18,-0.21,-0.02,9.84,0.48,-3.84,9.61
13046,20,-0.38,-0.06,1.32,0.66,9.57,-0.48,-0.96,11.05
13148,20,-0.25,0.14,0.67,0.70,9.68,-0.96,0.00,10.57
13250,20,-0.17,0.25,-0.10,0.02,9.76,0.48,-1.92,9.61
13352,20,-0.14,0.27,0.21,0.51,9.68,0.00,-0.96,9.61
13454,20,-0.14,0.24,0.25,0.66,9.68,-0.48,-0.96,8.65
13659,20,-0.28,0.01,-0.14,0.55,9.76,-0.96,-2.40,8.17
13761,20,-0.32,-0.05,0.29,-0.21,9.72,-0.48,-1.92,9.13
13863,20,-0.38,-0.13,-0.06,0.13,9.72,0.00,-0.48,11.05
13965,20,-0.35,-0.08,0.02,0.40,9.76,1.92,-1.92,7.69
14067,20,-0.37,-0.10,0.05,0.43,9.72,0.48,-1.44,9.13
14169,20,-0.38,-0.11,-0.02,0.02,9.80,0.00,-1.44,9.61
14271,20,-0.32,0.01,-0.37,0.36,9.76,0.48,-2.40,9.13
14373,20,-0.17,0.21,0.59,1.09,9.76,-0.48,-1.92,8.65
14476,20,-0.22,0.12,0.32,0.28,9.68,0.00,-3.36,10.09
14681,20,-0.43,-0.18,0.78,0.28,9.87,0.96,-2.40,10.57
14783,20,-0.48,-0.24,1.13,-0.33,9.57,0.00,-2.40,9.13
14885,20,-0.50,-0.24,-0.06,0.78,9.76,0.00,-1.44,10.57
14987,20,-0.49,-0.20,0.97,0.55,9.68,0.00,-1.92,8.17
15089,20,-0.72,-0.51,-0.67,0.47,9.84,0.48,-1.92,8.65
15191,20,-0.78,-0.54,0.74,0.55,9.72,0.48,-0.48,9.61
15293,20,-0.75,-0.44,-0.94,0.51,9.80,0.48,-0.48,10.57
15395,20,-0.74,-0.38,-0.10,0.62,9.76,0.00,-3.36,10.57
15601,20,-0.73,-0.27,0.97,-0.10,9.68,-1.44,-2.40,9.61
15709,20,-0.73,-0.23,0.52,0.24,9.80,0.48,-3.84,11.53
15810,20,-0.67,-0.11,0.97,0.55,9.72,0.00,-3.36,10.57
15911,20,-0.57,0.05,0.82,0.89,9.68,0.48,-2.40,9.61
16013,20,-0.47,0.19,0.02,0.62,9.76,0.00,-2.88,8.65
16115,20,-0.41,0.26,0.21,0.36,9.68,0.96,-2.40,10.09
16216,20,-0.10,0.70,0.09,0.13,9.72,0.48,-1.92,9.61
16318,20,0.15,0.99,0.05,0.40,9.76,0.48,-1.44,10.57
16419,20,0.06,0.77,0.09,0.62,9.72,-0.48,-0.48,12.49
16623,20,-0.12,0.37,0.05,0.43,9.72,0.00,-2.40,9.13
16724,20,-0.21,0.18,0.48,0.32,9.68,-0.96,-1.44,9.61
16826,20,-0.20,0.19,0.09,0.40,9.72,0.00,-0.48,8.65
16928,20,-0.25,0.08,0.09,0.51,9.72,-0.48,-0.96,10.57
17030,20,-0.25,0.07,0.44,0.24,9.72,0.00,-0.48,8.17
17132,20,-0.21,0.13,0.40,0.40,9.72,0.96,-1.44,12.01
17235,20,0.09,0.53,0.09,0.40,9.72,0.48,-2.88,11.53
17337,20,-0.15,0.13,0.09,0.40,9.76,0.48,-2.88,9.61
17439,20,-0.28,-0.07,0.32,0.13,9.72,0.00,-3.84,8.17
17645,20,-0.39,-0.23,0.29,0.36,9.76,-1.44,-0.96,9.61
17747,20,-0.40,-0.22,0.21,0.24,9.76,-0.96,-1.44,9.61
17849,20,-0.42,-0.24,0.32,0.36,9.72,-0.48,0.00,10.57
17951,20,-0.41,-0.19,0.40,0.43,9.72,-0.48,-0.96,8.65
18053,20,-0.32,-0.05,0.36,0.21,9.68,0.00,-3.84,7.21
18155,20,-0.25,0.05,0.44,0.40,9.72,-0.96,-1.92,10.09
18257,20,-0.20,0.12,0.17,0.05,9.76,0.96,-1.92,9.13
18359,20,-0.14,0.20,0.25,0.17,9.76,0.00,-1.44,8.17
18563,20,0.13,0.54,0.21,0.40,9.76,0.00,-1.44,9.13
18673,20,0.23,0.63,0.09,0.55,9.76,-0.96,-1.92,8.65
18774,20,0.28,0.63,0.55,0.59,9.68,-0.96,-2.40,8.65
18876,20,0.21,0.46,0.71,-0.18,9.68,-0.48,-1.92,8.65
18979,20,0.12,0.29,0.13,0.51,9.76,0.00,-1.44,8.65
19081,20,-0.06,-0.03,0.52,0.40,9.72,0.48,-1.92,11.05
19183,20,-0.08,-0.07,0.52,0.02,9.72,0.96,-1.92,10.09
19285,20,-0.04,-0.01,0.29,0.86,9.68,1.44,-1.44,10.57
19387,20,0.02,0.07,-0.10,0.28,9.80,0.96,-0.48,8.17
19591,20,0.09,0.16,0.29,0.51,9.76,-0.48,-2.88,9.13
19692,20,-0.01,0.00,1.86,0.21,9.64,-0.48,-0.48,11.05
19794,20,0.03,0.06,0.17,0.21,9.76,0.00,-1.92,7.21
19897,20,0.00,0.01,0.25,0.51,9.64,-0.96,-1.44,9.61
19999,20,-0.08,-0.11,0.32,0.17,9.68,0.00,-0.48,10.57
20101,20,-0.02,-0.02,0.17,0.40,9.72,-1.44,-2.88,9.61
20203,20,0.00,0.00,0.29,0.40,9.72,0.48,-0.48,10.09
20305,20,0.07,0.10,0.48,-0.14,9.72,0.00,-1.44,8.65
20407,20,0.20,0.27,0.36,0.51,9.76,1.44,-1.92,10.09
20612,20,0.36,0.43,0.17,0.51,9.72,0.00,-2.88,10.57
20713,20,0.29,0.26,0.48,0.43,9.68,-1.44,-2.40,7.69
20815,20,0.23,0.14,0.21,0.28,9.72,-0.96,-3.84,7.21
20917,20,0.19,0.06,-0.02,0.32,9.87,-1.44,-4.32,7.69
21019,20,0.13,-0.04,0.36,-0.10,9.80,-1.44,-2.88,10.57
21121,20,-0.05,-0.29,0.44,0.28,9.76,1.44,-2.88,10.09
21223,20,-0.05,-0.28,0.44,0.36,9.72,-0.96,-1.92,8.65
21325,20,-0.12,-0.35,0.25,0.40,9.72,-0.48,-1.44,9.61
21529,20,0.10,0.00,0.17,0.24,9.76,0.96,-1.44,9.61
21638,20,0.24,0.19,-0.06,0.28,9.80,-0.48,-2.88,8.17
21740,20,0.19,0.09,0.74,0.40,9.64,-1.44,-1.92,8.65
21842,20,0.40,0.40,0.59,0.28,9.68,-0.96,-2.40,8.17
21944,20,0.32,0.24,0.13,0.51,9.76,0.48,-1.92,8.65
22046,20,0.28,0.15,0.21,0.43,9.72,-0.48,-2.88,8.65
22148,20,0.24,0.07,0.36,0.36,9.72,-0.48,-0.48,10.09
22250,20,0.18,-0.02,0.32,0.24,9.72,0.96,-2.40,9.13
22352,20,0.22,0.03,0.02,0.40,9.76,0.48,-2.40,10.57
22556,20,0.33,0.17,0.32,0.59,9.72,-0.96,-1.44,10.09
22660,20,0.41,0.26,0.21,0.24,9.76,0.48,-1.44,10.57
22761,20,0.39,0.21,0.21,0.36,9.72,0.48,-2.40,10.57
22863,20,0.28,0.02,0.13,0.43,9.80,0.48,-1.92,8.65
22965,20,0.28,0.01,0.25,0.51,9.72,0.48,-1.92,8.65
23068,20,0.31,0.06,0.17,0.36,9.76,0.48,-1.44,10.09
23170,20,0.34,0.08,0.21,0.40,9.72,0.48,-1.44,11.05
23272,20,0.48,0.28,0.25,0.40,9.68,0.96,-0.96,9.61
23374,20,0.32,0.03,0.13,0.43,9.76,0.96,-1.92,10.09
23578,20,0.61,0.40,0.13,0.62,9.72,-0.96,-1.92,9.13
23689,20,0.68,0.47,0.29,0.28,9.68,0.00,-1.44,8.65
23792,20,0.62,0.32,0.40,0.47,9.72,0.00,-0.48,10.57
23894,20,0.54,0.16,0.13,0.55,9.76,0.96,-1.92,9.61
23996,20,0.51,0.09,0.36,0.55,9.68,-0.96,-0.48,9.61
24098,20,0.53,0.11,0.40,0.32,9.72,0.00,-2.40,10.57
24199,20,0.52,0.09,0.17,0.36,9.72,0.00,-2.40,9.13
24301,20,0.46,-0.03,-0.02,0.40,9.72,0.96,-3.36,11.53
24403,20,0.42,-0.08,0.52,0.32,9.68,0.00,-1.44,9.61
24607,20,0.22,-0.35,0.29,0.24,9.72,-0.48,-1.92,8.17
24708,20,0.28,-0.24,0.13,0.47,9.80,0.96,-2.88,9.13
