t,ls,alt,vel,ax,ay,az,hax,hay,haz
325429,20,0.32,-0.16,0.25,0.28,9.72,0.00,-0.96,9.61
325633,20,0.28,-0.18,0.21,0.28,9.72,0.48,-1.92,8.65
325742,20,0.31,-0.12,0.21,0.24,9.72,1.44,-1.44,6.25
325843,20,0.34,-0.05,0.21,0.36,9.72,2.88,-1.92,9.13
325945,20,0.37,-0.01,0.29,0.32,9.76,1.92,-1.44,8.17
326047,20,0.38,0.00,0.17,0.32,9.72,0.00,-1.92,9.13
326149,20,0.46,0.13,0.17,0.28,9.76,0.00,-1.92,10.57
326251,20,0.46,0.11,0.21,0.40,9.72,0.96,-2.40,8.65
326353,20,0.49,0.15,0.17,0.32,9.76,0.00,-2.40,8.65
326455,20,0.57,0.25,0.21,0.28,9.76,0.00,-1.92,7.21
326659,20,0.56,0.20,0.17,0.36,9.76,-0.96,-2.40,8.65
326760,20,0.53,0.13,0.25,0.32,9.72,0.00,-1.92,8.17
326863,20,0.58,0.18,0.21,0.32,9.72,-0.96,-0.48,8.17
326965,20,0.56,0.14,0.32,0.47,9.61,0.96,-2.40,6.25
327068,20,0.58,0.15,0.29,0.40,9.76,-0.48,-2.40,10.57
327171,20,0.54,0.08,0.29,0.32,9.76,0.48,-2.88,11.53
327273,20,0.51,0.02,0.25,0.32,9.80,0.48,-1.92,6.73
327375,20,0.50,0.00,0.21,0.36,9.76,1.44,-4.32,11.53
327477,20,0.51,0.02,0.25,0.32,9.68,1.44,0.96,27.39
327682,20,0.49,-0.03,0.05,0.28,9.80,1.44,-2.88,6.73
327784,20,0.41,-0.14,0.13,0.36,9.72,0.48,-3.36,9.13
327886,20,0.36,-0.22,0.21,0.32,9.72,1.44,-2.40,9.13
327988,20,0.33,-0.24,0.25,0.32,9.72,0.48,-1.44,7.69
328090,20,0.33,-0.22,0.32,0.24,9.76,-0.96,-0.96,10.09
328192,20,0.35,-0.17,0.25,0.40,9.72,0.48,-1.92,8.17
328294,20,0.34,-0.16,0.21,0.28,9.72,0.00,-1.44,7.69
328396,20,0.41,-0.05,0.13,0.28,9.72,0.00,-2.88,8.17
328602,20,0.62,0.27,0.13,0.40,9.76,-0.96,-0.96,9.13
328709,20,0.70,0.36,0.21,0.40,9.76,-1.44,-1.92,8.65
328810,20,0.72,0.35,0.21,0.28,9.72,-0.96,-1.44,8.65
328912,20,0.77,0.39,0.17,0.36,9.72,-0.96,-1.44,9.13
329014,20,0.71,0.26,0.25,0.28,9.72,0.96,-2.40,10.09
329116,20,0.74,0.28,0.17,0.24,9.72,0.48,-1.92,7.69
329218,20,0.73,0.23,0.21,0.36,9.76,0.00,-2.88,9.13
329320,20,0.71,0.17,0.25,0.36,9.76,0.96,-1.92,9.13
329422,20,0.70,0.13,0.17,0.32,9.72,-0.48,-1.92,10.09
329626,20,0.76,0.18,0.17,0.36,9.72,0.00,-1.92,10.09
329728,20,0.80,0.21,0.21,0.32,9.72,0.48,-1.92,9.61
329830,20,0.80,0.18,0.21,0.32,9.72,-0.96,-1.92,9.13
329932,20,0.67,-0.03,0.29,0.32,9.76,0.00,-1.44,7.69
330034,20,0.66,-0.04,0.25,0.36,9.76,-0.48,-0.96,10.09
330136,20,0.66,-0.05,0.13,0.24,9.76,0.96,-2.40,11.05
330239,20,0.67,-0.03,0.21,0.32,9.72,0.48,-1.44,9.61
330341,20,0.70,0.01,0.13,0.32,9.72,-0.48,-1.44,8.65
330444,20,0.74,0.06,0.13,0.40,9.76,-0.48,-0.96,7.21
330649,20,0.59,-0.17,0.36,0.28,9.68,-0.96,-0.96,5.77
330751,20,0.51,-0.27,0.25,0.32,9.72,0.00,-0.96,10.57
330853,20,0.54,-0.20,0.25,0.28,9.76,0.00,-1.44,7.69
330954,20,0.53,-0.19,0.29,0.28,9.72,-0.96,-0.96,7.21
331056,20,0.56,-0.13,0.21,0.32,9.76,0.48,-3.36,8.17
331158,20,0.55,-0.14,0.29,0.36,9.72,-0.48,-0.48,7.69
331260,20,0.54,-0.14,0.29,0.24,9.76,0.96,-1.44,10.57
331362,20,0.53,-0.13,0.13,0.36,9.72,0.48,-1.44,9.13
331567,20,0.48,-0.18,0.25,0.32,9.76,-1.92,-0.96,8.17
331674,20,0.51,-0.13,0.13,0.40,9.72,-0.48,-1.44,8.65
331775,20,0.48,-0.15,0.17,0.32,9.72,0.00,-2.40,8.17
331876,20,0.47,-0.15,0.29,0.32,9.72,-0.48,-2.40,8.65
331978,20,0.43,-0.19,0.21,0.32,9.76,-0.96,-2.40,10.09
332080,20,0.43,-0.16,0.21,0.32,9.72,0.96,-0.48,9.61
332182,20,0.47,-0.08,0.25,0.32,9.72,0.48,-1.92,8.17
332284,20,0.51,-0.01,0.17,0.32,9.72,0.48,-1.92,7.69
332386,20,0.52,0.00,0.25,0.32,9.72,-0.48,-2.40,9.13
332590,20,0.55,0.05,0.21,0.36,9.72,0.48,-0.96,8.65
332691,20,0.56,0.07,0.17,0.32,9.72,1.44,-1.92,10.09
332793,20,0.57,0.08,0.21,0.28,9.72,0.48,-0.48,9.13
332895,20,0.62,0.15,0.13,0.32,9.76,-0.48,-1.92,9.13
332997,20,0.61,0.12,0.21,0.24,9.72,0.48,-0.96,9.61
333099,20,0.53,0.00,0.21,0.36,9.72,0.48,-2.40,7.21
333201,20,0.47,-0.09,0.25,0.32,9.72,0.00,-0.96,6.25
333303,20,0.45,-0.10,0.21,0.28,9.72,0.00,-0.96,9.61
333507,20,0.46,-0.07,0.29,0.28,9.76,0.00,-2.88,8.17
333608,20,0.55,0.06,0.25,0.32,9.76,0.96,-0.96,7.69
333710,20,0.60,0.13,0.25,0.28,9.72,-0.48,-1.44,8.65
333812,20,0.62,0.14,0.09,0.40,9.72,0.00,-1.44,8.65
333914,20,0.71,0.27,0.13,0.32,9.72,0.00,-1.44,7.69
334017,20,0.70,0.22,0.09,0.32,9.76,0.48,-2.40,7.69
334119,20,0.67,0.15,0.17,0.36,9.72,0.48,-2.88,8.65
334222,20,0.60,0.05,0.36,0.21,9.76,-0.96,-2.88,8.65
334324,20,0.59,0.02,0.29,0.28,9.72,0.00,-2.88,9.61
334528,20,0.50,-0.11,0.36,0.28,9.76,0.00,0.00,7.69
334630,20,0.44,-0.18,0.29,0.32,9.72,0.96,-1.92,8.17
334732,20,0.44,-0.18,0.25,0.32,9.72,-0.96,-1.44,9.61
334834,20,0.48,-0.11,0.13,0.36,9.76,0.00,-0.48,9.13
334936,20,0.51,-0.05,0.21,0.36,9.72,0.48,-1.92,10.09
335038,20,0.52,-0.03,0.13,0.36,9.72,0.96,-0.48,7.21
335140,20,0.54,0.01,0.21,0.36,9.72,0.48,-2.40,8.17
335242,20,0.58,0.06,0.21,0.28,9.72,0.00,-0.96,9.13
335446,20,0.49,-0.07,0.21,0.32,9.76,0.00,-1.92,8.17
335555,20,0.53,0.00,0.25,0.28,9.72,0.48,-0.48,9.13
335656,20,0.57,0.05,0.13,0.32,9.72,-0.96,-1.92,12.97
335758,20,0.53,0.00,0.25,0.47,9.64,0.48,-3.84,11.05
335860,20,0.52,-0.02,0.29,0.24,9.87,-1.92,-1.92,5.77
335962,20,0.47,-0.08,0.25,0.43,9.57,-3.36,-1.44,9.61
336064,20,0.42,-0.15,0.29,0.28,9.80,-1.44,-6.25,-5.77
336166,20,0.44,-0.10,0.36,0.32,9.72,1.92,-0.48,29.79
336268,20,0.40,-0.15,0.25,0.40,9.76,-0.48,-0.48,6.73
336472,20,0.46,-0.05,0.25,0.43,9.68,0.48,-0.96,8.17
336574,20,0.49,0.01,0.17,0.28,9.72,0.00,-2.40,7.69
336677,20,0.49,0.01,0.13,0.28,9.76,-1.44,-1.92,8.17
336779,20,0.50,0.02,0.21,0.32,9.72,-0.48,-1.92,7.69
336881,20,0.50,0.03,0.17,0.32,9.72,-0.48,-1.44,8.17
336983,20,0.52,0.05,0.21,0.32,9.76,0.00,-0.96,9.61
337085,20,0.53,0.07,0.32,0.32,9.72,0.48,-1.44,7.21
337187,20,0.55,0.09,0.13,0.32,9.72,1.92,-1.92,8.65
337289,20,0.54,0.07,0.13,0.32,9.72,-0.48,-1.92,7.21
337498,20,0.44,-0.09,0.25,0.28,9.72,0.48,-2.40,9.13
337599,20,0.43,-0.10,0.13,0.43,9.72,0.00,-1.92,10.09
337701,20,0.47,-0.03,0.25,0.28,9.72,-0.48,-1.92,7.21
337803,20,0.49,0.01,0.13,0.36,9.76,0.48,-3.36,7.69
337905,20,0.51,0.03,0.17,0.32,9.72,-0.96,-2.40,7.69
338007,20,0.49,-0.01,0.17,0.36,9.72,0.00,-1.44,8.17
338109,20,0.49,-0.01,0.09,0.36,9.76,0.00,-0.96,9.13
338211,20,0.43,-0.09,0.21,0.36,9.72,0.48,-1.92,10.09
338416,20,0.44,-0.05,0.21,0.32,9.72,-0.96,-3.36,9.61
338524,20,0.44,-0.04,0.17,0.28,9.76,0.00,-0.96,9.61
338625,20,0.47,0.00,0.21,0.36,9.68,0.00,-1.44,8.17
338727,20,0.48,0.01,0.25,0.36,9.72,0.96,-1.44,9.61
338829,20,0.48,0.01,0.13,0.32,9.72,0.00,-1.44,8.17
338931,20,0.50,0.05,0.13,0.40,9.72,0.48,-1.92,9.13
339033,20,0.51,0.05,0.13,0.32,9.72,0.96,-1.44,9.13
339135,20,0.52,0.07,0.17,0.28,9.76,0.48,-1.92,8.65
339237,20,0.51,0.05,0.29,0.28,9.72,1.44,-2.40,8.17
339441,20,0.53,0.06,0.25,0.36,9.72,0.96,-2.40,7.69
339543,20,0.53,0.06,0.29,0.24,9.72,0.00,-1.44,8.65
339645,20,0.53,0.06,0.32,0.32,9.72,0.48,-2.40,8.65
339747,20,0.56,0.09,0.25,0.32,9.76,1.44,-2.40,9.61
339850,20,0.56,0.08,0.13,0.32,9.72,-0.48,-1.92,7.69
339952,20,0.55,0.06,0.17,0.36,9.76,-0.48,-0.96,10.09
340054,20,0.57,0.08,0.21,0.40,9.72,-0.48,-0.96,8.65
340158,20,0.59,0.10,0.25,0.32,9.72,0.00,-0.96,8.65
340260,20,0.60,0.10,0.25,0.28,9.72,-0.48,-1.92,8.17
340465,20,0.51,-0.05,0.21,0.32,9.72,-0.48,-2.40,9.61
340567,20,0.52,-0.03,0.29,0.28,9.72,-0.48,-2.88,10.09
340669,20,0.49,-0.08,0.25,0.28,9.76,0.48,-2.88,8.65
340771,20,0.44,-0.14,0.25,0.32,9.72,0.96,-2.40,8.65
340873,20,0.43,-0.14,0.25,0.32,9.72,0.00,-1.92,7.69
340974,20,0.46,-0.08,0.17,0.32,9.72,0.48,-1.92,9.61
341076,20,0.45,-0.10,0.13,0.36,9.72,-0.48,-2.40,9.13
341178,20,0.45,-0.08,0.13,0.36,9.72,0.96,-1.44,9.61
341382,20,0.50,0.01,0.09,0.36,9.72,0.48,-0.96,10.57
341491,20,0.51,0.02,0.17,0.36,9.76,0.48,-1.44,9.61
341592,20,0.54,0.05,0.17,0.32,9.76,0.00,-1.44,7.21
341694,20,0.57,0.09,0.25,0.28,9.76,0.00,-1.44,8.17
341796,20,0.57,0.08,0.25,0.32,9.72,0.00,-2.40,9.13
341898,20,0.59,0.10,0.21,0.32,9.76,0.00,-2.88,8.65
342000,20,0.63,0.16,0.21,0.32,9.72,0.48,-1.44,8.65
342102,20,0.56,0.03,0.17,0.36,9.72,0.96,-1.44,7.21
342205,20,0.59,0.08,0.17,0.32,9.72,-0.48,-0.96,8.65
342410,20,0.56,0.02,0.25,0.28,9.76,0.96,-0.96,9.13
342516,20,0.58,0.05,0.17,0.36,9.72,-0.48,-1.92,9.13
342617,20,0.60,0.07,0.21,0.32,9.72,1.44,-1.92,7.21
342719,20,0.53,-0.04,0.25,0.28,9.76,1.92,-1.92,9.13
342821,20,0.54,-0.02,0.17,0.32,9.76,-0.48,-3.36,10.09
342923,20,0.53,-0.03,0.25,0.32,9.72,1.44,-1.92,10.09
343025,20,0.58,0.04,0.25,0.32,9.72,0.96,-1.92,8.65
343127,20,0.57,0.03,0.21,0.32,9.72,-0.48,-2.40,8.17
343229,20,0.60,0.07,0.25,0.32,9.72,0.96,-1.92,8.65
343433,20,0.59,0.04,0.17,0.32,9.76,-0.48,-0.96,8.65
343535,20,0.57,0.00,0.21,0.32,9.76,0.00,-2.40,9.61
343637,20,0.57,-0.01,0.21,0.36,9.76,-0.48,-2.40,7.21
343739,20,0.55,-0.04,0.17,0.36,9.76,-0.48,-2.40,8.17
343841,20,0.59,0.02,0.25,0.28,9.72,0.00,-0.96,8.17
343943,20,0.63,0.07,0.25,0.32,9.72,-0.48,-3.36,8.65
344045,20,0.63,0.06,0.21,0.36,9.72,1.44,-2.88,8.17
344147,20,0.59,0.01,0.21,0.32,9.72,0.96,-1.92,7.69
344351,20,0.63,0.06,0.17,0.32,9.72,0.48,-1.92,6.73
344460,20,0.66,0.09,0.21,0.32,9.72,0.96,-3.36,6.73
344562,20,0.64,0.06,0.32,0.40,9.68,-2.40,-2.40,11.05
344664,20,0.65,0.06,0.29,0.24,9.91,0.96,-2.88,6.25
344766,20,0.62,0.00,0.29,0.40,9.72,-0.48,-1.92,5.29
344868,20,0.58,-0.05,0.32,0.32,9.80,0.00,-5.77,5.77
344970,20,0.58,-0.05,0.21,0.40,9.68,2.40,-2.40,21.14
345073,20,0.61,0.00,0.25,0.40,9.68,0.96,-3.84,9.13
345175,20,0.61,-0.01,0.21,0.32,9.72,0.48,-3.36,6.73
345379,20,0.53,-0.12,0.17,0.32,9.72,0.00,-0.96,10.09
345484,20,0.49,-0.17,0.21,0.32,9.76,0.48,-1.92,9.13
345585,20,0.48,-0.16,0.21,0.32,9.76,0.00,-0.48,7.69
345687,20,0.54,-0.05,0.21,0.32,9.72,0.96,-1.92,8.65
345789,20,0.53,-0.06,0.25,0.32,9.76,1.92,-1.92,7.69
345891,20,0.60,0.04,0.21,0.32,9.72,0.96,-1.44,5.77
345993,20,0.61,0.06,0.21,0.32,9.72,0.00,-0.96,7.69
346095,20,0.61,0.06,0.21,0.32,9.72,0.48,-3.36,9.61
346197,20,0.62,0.06,0.21,0.32,9.72,0.48,-2.88,10.57
346401,20,0.61,0.04,0.21,0.32,9.72,0.96,-2.40,7.21
346503,20,0.58,-0.01,0.21,0.36,9.72,-0.48,-0.96,8.65
346605,20,0.60,0.02,0.21,0.32,9.72,-0.96,-1.44,8.65
346707,20,0.60,0.02,0.21,0.32,9.72,-0.96,-1.92,8.17
346809,20,0.61,0.03,0.17,0.32,9.72,0.48,-2.88,10.09
346911,20,0.62,0.04,0.21,0.32,9.76,0.48,-2.40,8.65
347013,20,0.60,0.01,0.21,0.32,9.76,0.00,-0.48,8.17
347115,20,0.65,0.07,0.21,0.36,9.72,-0.48,-1.92,9.13
347319,20,0.64,0.05,0.21,0.36,9.72,-0.48,-1.92,9.13
347428,20,0.65,0.06,0.25,0.32,9.72,0.96,-0.96,7.69
347529,20,0.63,0.03,0.21,0.32,9.68,1.44,-0.48,6.73
347631,20,0.62,0.01,0.21,0.32,9.72,1.44,-3.36,8.65
347733,20,0.61,-0.02,0.21,0.32,9.76,-0.48,-1.92,10.57
347835,20,0.58,-0.05,0.25,0.32,9.72,-0.48,-1.92,9.13
347937,20,0.56,-0.07,0.21,0.32,9.68,0.48,-1.92,9.13
348039,20,0.63,0.03,0.25,0.32,9.72,0.48,-3.36,9.13
348141,20,0.64,0.05,0.21,0.32,9.72,0.48,-2.88,7.69
348244,20,0.64,0.04,0.21,0.32,9.76,1.92,-3.84,10.09
348454,20,0.63,0.02,0.21,0.32,9.76,0.00,-2.40,9.61
348555,20,0.65,0.05,0.25,0.32,9.72,-0.48,-0.96,7.69
348657,20,0.64,0.02,0.21,0.32,9.72,-0.48,-1.92,8.17
348759,20,0.67,0.06,0.21,0.32,9.72,-0.48,-1.92,7.69
348861,20,0.67,0.05,0.21,0.28,9.76,0.00,-2.40,7.69
348963,20,0.65,0.02,0.21,0.32,9.72,0.96,-0.96,9.61
349065,20,0.69,0.07,0.25,0.32,9.76,-0.96,-2.40,8.17
349167,20,0.68,0.05,0.17,0.32,9.76,-0.48,-2.40,7.69
349371,20,0.66,0.02,0.21,0.36,9.76,-0.48,-1.44,9.61
349481,20,0.63,-0.03,0.25,0.32,9.76,1.44,-0.96,8.17
349582,20,0.64,-0.02,0.21,0.28,9.72,0.00,-1.44,8.65
349684,20,0.60,-0.08,0.21,0.32,9.76,0.96,-1.92,8.17
349786,20,0.63,-0.02,0.21,0.32,9.76,0.48,-2.40,8.65
349888,20,0.70,0.07,0.21,0.32,9.72,0.48,-1.44,11.53
349990,20,0.74,0.12,0.21,0.32,9.72,-0.48,-1.92,8.65
350092,20,0.80,0.20,0.25,0.32,9.72,1.44,-2.40,7.69
350194,20,0.88,0.29,0.21,0.32,9.72,0.48,-1.44,10.09
350397,20,0.89,0.24,0.21,0.32,9.72,0.00,-3.36,10.09
350498,20,0.85,0.15,0.21,0.32,9.72,1.44,-1.44,9.13
350600,20,0.85,0.13,0.21,0.32,9.72,-0.48,-1.92,8.17
350702,20,0.88,0.17,0.21,0.32,9.72,0.48,-1.92,7.69
350804,20,0.88,0.14,0.21,0.36,9.72,0.48,-2.40,11.05
350906,20,0.89,0.14,0.25,0.28,9.76,0.48,-1.92,7.69
351009,20,0.86,0.08,0.25,0.32,9.72,0.00,-0.96,7.69
351111,20,0.82,0.01,0.21,0.32,9.76,-0.48,-1.92,8.65
351214,20,0.84,0.03,0.21,0.36,9.72,0.96,-2.88,9.61
351419,20,0.79,-0.06,0.21,0.32,9.76,0.00,-1.92,9.61
351521,20,0.80,-0.04,0.21,0.32,9.76,0.00,-1.44,8.65
351623,20,0.79,-0.05,0.21,0.32,9.76,0.00,-1.92,9.13
351725,20,0.80,-0.03,0.17,0.32,9.72,-0.48,-1.44,8.17
351827,20,0.81,-0.02,0.21,0.36,9.72,-0.48,-0.96,8.17
351929,20,0.83,0.01,0.21,0.36,9.68,1.44,-1.44,8.17
352031,20,0.85,0.04,0.21,0.32,9.76,0.48,-2.40,9.13
352133,20,0.86,0.04,0.21,0.28,9.72,0.48,-1.92,6.73
352337,20,0.82,-0.02,0.21,0.32,9.72,0.00,-2.40,7.69
352438,20,0.77,-0.10,0.21,0.28,9.76,0.48,-2.40,8.65
352540,20,0.79,-0.06,0.21,0.32,9.72,0.00,-3.36,7.69
352642,20,0.81,-0.02,0.21,0.32,9.72,-0.48,-0.96,7.69
352744,20,0.83,0.00,0.21,0.36,9.72,-0.48,-1.92,6.25
352846,20,0.84,0.02,0.21,0.32,9.72,0.48,-1.44,8.17
352949,20,0.84,0.01,0.21,0.32,9.72,0.48,-2.88,7.21
353052,20,0.83,0.00,0.17,0.32,9.72,0.00,-2.40,11.05
353256,20,0.82,-0.02,0.25,0.28,9.84,-0.96,-1.92,8.65
353360,20,0.80,-0.05,0.29,0.43,9.64,0.48,-1.44,11.05
353462,20,0.81,-0.03,0.25,0.32,9.80,0.48,-2.40,11.05
353564,20,0.83,0.01,0.29,0.28,9.80,-0.96,-3.36,4.81
353666,20,0.84,0.01,0.25,0.40,9.76,-0.96,-1.92,-7.69
353768,20,0.83,0.01,0.21,0.28,9.80,-1.92,-5.29,-9.61
353869,20,0.87,0.06,0.25,0.32,9.76,0.00,-1.44,7.21
353971,20,0.85,0.03,0.17,0.32,9.72,0.96,-2.88,8.17
354073,20,0.83,0.00,0.21,0.32,9.72,0.48,-1.44,7.21
354279,20,0.84,0.00,0.21,0.32,9.68,0.96,-1.44,9.61
354385,20,0.78,-0.08,0.21,0.32,9.72,0.48,-1.44,9.61
354486,20,0.80,-0.05,0.25,0.32,9.72,0.48,-1.92,9.13
354588,20,0.79,-0.06,0.21,0.32,9.76,0.48,-1.92,9.13
354690,20,0.81,-0.02,0.21,0.36,9.76,-0.48,-1.44,9.13
354792,20,0.82,-0.01,0.21,0.32,9.76,0.00,-1.44,7.69
354894,20,0.82,-0.01,0.21,0.32,9.72,0.96,-0.96,8.65
354996,20,0.85,0.03,0.25,0.32,9.72,0.48,-0.96,8.65
355098,20,0.88,0.08,0.21,0.32,9.72,0.00,-3.36,6.25
355303,20,0.86,0.05,0.21,0.32,9.76,0.48,-1.92,8.65
355416,20,0.88,0.07,0.21,0.32,9.72,0.48,-2.88,7.21
355518,20,0.88,0.05,0.21,0.32,9.72,0.00,-2.40,7.69
355620,20,0.88,0.05,0.21,0.32,9.76,0.48,-1.44,7.69
355721,20,0.86,0.02,0.21,0.32,9.76,0.00,-1.44,10.57
355822,20,0.88,0.05,0.25,0.32,9.76,0.48,-1.92,8.65
355924,20,0.90,0.07,0.25,0.32,9.76,0.96,-2.88,9.61
356027,20,0.88,0.02,0.25,0.32,9.76,0.48,-1.92,9.61
356129,20,0.85,-0.03,0.21,0.32,9.72,0.00,-0.96,8.65
356335,20,0.86,0.00,0.21,0.32,9.72,0.00,-2.40,8.65
356436,20,0.88,0.03,0.21,0.32,9.72,-0.48,-1.92,9.13
356539,20,0.87,0.01,0.21,0.32,9.72,-0.96,-1.92,7.21
356642,20,0.89,0.03,0.21,0.32,9.72,-0.96,-1.92,7.69
356744,20,0.90,0.04,0.21,0.32,9.72,-0.48,-2.40,8.65
356846,20,0.87,0.00,0.25,0.32,9.72,0.00,-2.40,8.65
356948,20,0.87,0.00,0.21,0.32,9.72,-0.96,-1.44,8.17
357051,20,0.82,-0.07,0.21,0.32,9.72,0.00,-1.44,7.21
357153,20,0.83,-0.05,0.21,0.32,9.76,1.44,-0.96,8.65
357359,20,0.84,-0.04,0.21,0.32,9.76,0.48,-3.36,7.21
357472,20,0.84,-0.03,0.21,0.32,9.72,0.96,-2.88,7.69
357574,20,0.84,-0.03,0.21,0.32,9.72,-0.48,-2.88,11.05
357676,20,0.83,-0.04,0.17,0.32,9.72,0.00,-1.92,7.69
357778,20,0.87,0.03,0.21,0.32,9.72,-0.48,-1.92,6.25
357880,20,0.85,-0.01,0.21,0.32,9.72,0.96,-0.48,10.09
357982,20,0.82,-0.06,0.21,0.32,9.72,0.00,-1.44,10.09
358084,20,0.80,-0.07,0.21,0.32,9.72,-0.48,-2.40,7.21
358186,20,0.81,-0.06,0.21,0.32,9.72,0.48,-1.44,9.13
358390,20,0.80,-0.06,0.21,0.32,9.72,0.48,-1.44,8.17
358494,20,0.81,-0.05,0.21,0.32,9.72,0.00,-1.44,9.61
358595,20,0.79,-0.07,0.17,0.32,9.76,-1.44,-1.44,7.69
358697,20,0.80,-0.05,0.21,0.32,9.72,-1.44,-1.92,8.65
358799,20,0.84,0.01,0.21,0.32,9.76,-0.48,-1.92,8.17
358902,20,0.84,0.01,0.21,0.32,9.76,0.96,-1.44,10.09
359004,20,0.88,0.06,0.21,0.32,9.72,-0.96,-0.96,7.69
359106,20,0.84,0.00,0.21,0.32,9.72,0.48,-2.88,8.65
359208,20,0.83,-0.01,0.21,0.32,9.72,0.00,-2.88,8.65
359412,20,0.80,-0.04,0.21,0.32,9.72,0.48,-2.40,7.69
359513,20,0.78,-0.07,0.21,0.36,9.72,1.44,-2.88,8.17
359615,20,0.85,0.04,0.25,0.32,9.72,0.48,-1.92,10.57
359717,20,0.86,0.05,0.21,0.32,9.76,0.00,-2.40,8.17
359819,20,0.87,0.05,0.21,0.32,9.76,0.48,0.00,7.69
359921,20,0.89,0.08,0.21,0.32,9.72,0.00,-2.40,7.69
360023,20,0.88,0.05,0.21,0.32,9.72,-0.48,-1.44,6.73
360125,20,0.91,0.09,0.25,0.32,9.76,-0.48,-1.92,7.69
360329,20,0.86,0.00,0.21,0.28,9.72,0.48,-2.88,7.69
360438,20,0.85,-0.01,0.21,0.32,9.72,0.96,-1.92,8.17
360539,20,0.84,-0.03,0.21,0.32,9.76,0.00,-0.96,7.69
360641,20,0.83,-0.04,0.21,0.32,9.72,-0.48,-1.92,9.61
360744,20,0.80,-0.08,0.21,0.32,9.72,0.00,-0.48,9.61
360846,20,0.84,-0.01,0.21,0.32,9.76,-0.48,-1.92,8.65
360948,20,0.83,-0.01,0.21,0.32,9.72,-0.48,-1.44,8.65
361050,20,0.86,0.02,0.21,0.32,9.72,0.00,-1.92,9.13
361152,20,0.88,0.06,0.21,0.32,9.76,0.96,-2.40,7.21
361356,20,0.96,0.15,0.25,0.32,9.76,1.44,-1.44,6.73
361458,20,0.94,0.10,0.17,0.32,9.76,0.00,-1.44,8.17
361561,20,0.88,0.00,0.21,0.32,9.72,-0.48,-0.96,8.65
361663,20,0.85,-0.04,0.25,0.32,9.76,-0.48,-1.92,8.17
361766,20,0.88,0.00,0.21,0.32,9.72,0.00,-1.92,8.65
361869,20,0.85,-0.04,0.21,0.36,9.76,0.48,-2.88,7.21
361972,20,0.85,-0.05,0.29,0.40,9.64,-1.44,-1.92,10.09
362074,20,0.82,-0.08,0.32,0.40,9.72,0.96,-2.88,11.05
362176,20,0.81,-0.08,0.25,0.32,9.84,2.40,-2.88,8.17
362383,20,0.80,-0.09,0.29,0.28,9.80,1.44,-2.40,23.07
362496,20,0.82,-0.04,0.25,0.36,9.72,1.92,-1.44,3.36
362598,20,0.86,0.02,0.21,0.28,9.76,0.48,-2.40,6.73
362700,20,0.88,0.05,0.25,0.28,9.76,0.00,0.00,6.73
362802,20,0.83,-0.04,0.25,0.32,9.72,0.48,-2.40,8.65
362904,20,0.83,-0.03,0.21,0.36,9.72,-0.96,-1.44,8.65
363006,20,0.84,-0.01,0.21,0.32,9.76,0.48,-1.92,8.17
363108,20,0.82,-0.04,0.21,0.32,9.72,-0.48,-1.92,9.61
363210,20,0.85,0.01,0.17,0.32,9.76,0.48,-1.92,11.05
363414,20,0.90,0.08,0.21,0.32,9.76,0.48,-2.88,7.21
363520,20,0.90,0.07,0.25,0.32,9.72,-0.96,-0.96,8.17
363621,20,0.86,0.01,0.17,0.32,9.72,-0.48,-1.44,7.69
363724,20,0.87,0.02,0.21,0.32,9.72,-0.96,-1.92,8.17
363826,20,0.88,0.01,0.21,0.32,9.72,0.00,-0.48,10.57
363928,20,0.86,-0.01,0.21,0.32,9.72,-0.48,-4.32,7.69
364030,20,0.88,0.03,0.21,0.32,9.72,1.44,-3.36,8.17
364132,20,0.94,0.11,0.21,0.32,9.72,0.96,-0.96,8.65
364234,20,0.93,0.08,0.21,0.32,9.76,-0.48,-0.48,10.09
364438,20,0.97,0.12,0.21,0.36,9.72,0.48,-2.40,9.61
364540,20,0.92,0.04,0.21,0.36,9.76,0.00,-3.36,7.69
364642,20,0.90,0.00,0.25,0.32,9.76,-0.96,-0.96,8.65
364744,20,0.92,0.03,0.21,0.32,9.72,1.44,-1.44,9.61
364846,20,0.90,-0.01,0.25,0.36,9.72,-0.48,-2.40,9.13
364948,20,0.89,-0.02,0.21,0.32,9.72,0.96,-1.92,10.57
365050,20,0.87,-0.04,0.21,0.32,9.72,0.48,-2.40,8.65
365152,20,0.87,-0.05,0.21,0.32,9.76,1.44,-1.92,9.61
365356,20,0.82,-0.11,0.21,0.32,9.76,0.96,-1.92,6.25
365463,20,0.82,-0.08,0.21,0.32,9.76,0.48,-1.92,8.65
365564,20,0.80,-0.12,0.21,0.32,9.76,1.44,-0.96,10.09
365666,20,0.80,-0.10,0.25,0.36,9.72,-0.48,-1.44,7.69
365768,20,0.80,-0.10,0.21,0.32,9.72,-0.48,-2.40,7.69
365870,20,0.80,-0.07,0.21,0.32,9.72,1.92,-2.40,7.69
365972,20,0.84,-0.02,0.21,0.32,9.72,0.00,-2.40,10.09
366074,20,0.84,-0.01,0.21,0.32,9.72,-0.48,-1.44,10.09
366176,20,0.86,0.03,0.25,0.32,9.72,0.48,-1.44,7.69
366380,20,0.92,0.10,0.25,0.32,9.76,0.96,-2.88,9.61
366481,20,0.88,0.03,0.21,0.28,9.76,0.96,-1.92,10.09
